name,type,state,county,city,zip
Clymer Borough Police Department,Local police department,PA,Indiana,Clymer,15728
Arcola Police Department,Local police department,MS,Washington,Arcola,38722
Laurelville Police Department,Local police department,OH,Hocking,Laurelville,43135
Hughesville Borough Police Department,Local police department,PA,Lycoming,Hughesville,17737
Sharon Police Department,Local police department,TN,Weakley,Sharon,38255
Blaine Police Department,Local police department,TN,Grainger,Blaine,37709
Wink Police Department,Local police department,TX,Winkler,Wink,79787
Randolph Police Dept,Local police department,NE,Cedar,Randolph,68771
Erick Police Department,Local police department,OK,Beckham,Erick,73645
Eldorado Police Department,Local police department,OK,Jackson,Eldorado,73537
Trenton Police Department,Local police department,SC,Edgefield,Trenton,29847
Blue Mounds Police Department,Local police department,WI,Dane,Blue Mounds,53517
Holyrood Police Department,Local police department,KS,Ellsworth,Holyrood,67450
Hamlet Police,Local police department,IN,Starke,Hamlet,46532
French Settlement Police Department,Local police department,LA,Livingston,French Settlement,70733
Loyall Police Department,Local police department,KY,Harlan,Loyall,40854
Thayer Police Dept,Local police department,IL,Sangamon,Thayer,62689
Bloomingdale Police Department,Local police department,MI,Van Buren,Bloomingdale,49026
Ida Police Department,Local police department,LA,Caddo,Ida,71044
Weir Police Department,Local police department,MS,Choctaw,Weir,39772
Morris-Cooper Regional Police Department,Local police department,PA,Clearfield,Allport,16821
Williamsburg Borough Police Department,Local police department,PA,Blair,Williamsburg,16693
Hustisford Police Department,Local police department,WI,Dodge,Hustisford,53034
Dickeyville Police Department,Local police department,WI,Grant,Dickeyville,53808
Escalante Police Department,Local police department,UT,Garfield,Escalante,84726
Payne Springs Police Department,Local police department,TX,Henderson,Payne Springs,75156
Gaston Police,Local police department,IN,Delaware,Gaston,47342
Witt Police Dept,Local police department,IL,Montgomery,Witt,62094
Adams Police Department,Local police department,MN,Mower,Adams,55909
North Charleroi Borough Police Department,Local police department,PA,Washington,Charleroi,15022
Burgettstown Borough Police Department,Local police department,PA,Washington,Burgettstown,15021
Boley Police Department,Local police department,OK,Okfuskee,Boley,74829
Bayard Police Department,Local police department,WV,Grant,Bayard,26707
La Center Police Department,Local police department,KY,Ballard,La Center,42056
Okay Police Department,Local police department,OK,Wagoner,Okay,74446
Highland Police Department,Local police department,WI,Iowa,Highland,53543
Shelburn Police,Local police department,IN,Sullivan,Shelburn,47879
Calumet Police Department,Local police department,MI,Houghton,Calumet,49913
Bland Police Department,Local police department,MO,Gasconade,Bland,65014
Callaway Police Dept,Local police department,NE,Custer,Callaway,68825
East Fork Constable,Local police department,NV,Douglas,Minden,89423
Millersburg Police,Local police department,IN,Elkhart,Millersburg,46543
Shannon Police Dept,Local police department,IL,Carroll,Shannon,61078
Central Lake Police Department,Local police department,MI,Antrim,Central Lake,49622
Harrisville Police Department,Local police department,NH,Cheshire,Harrisville,03450
Elgin Police Dept,Local police department,NE,Antelope,Elgin,68636
Gates Police Department,Local police department,TN,Lauderdale,Gates,38037
Tripp Police Department,Local police department,SD,Hutchinson,Tripp,57376
Argyle Police Department,Local police department,WI,Lafayette,Argyle,53504
Mounds Police Dept,Local police department,IL,Pulaski,Mounds,62964
Parkton Police Department,Local police department,NC,Robeson,Parkton,28371
Florida Village Police Department,Local police department,NY,Orange,Florida,10921
Cass-Foster Township Police Department,Local police department,PA,Schuylkill,Pottsville,17901
Slope County Sheriff's Office,Sheriff's office,ND,Slope,Amidon,58620
St. Leon Police,Local police department,IN,Franklin,Brookville,47012
Linden Police,Local police department,IN,Montgomery,Linden,47955
Lowry City Police Department,Local police department,MO,St. Clair,Lowry City,64763
Spalding Police Dept,Local police department,NE,Greeley,Spalding,68665
Lyman Police Dept,Local police department,NE,Scotts Bluff,Lyman,69352
Covington Township Police Department,Local police department,PA,Lackawanna,Moscow,18444
Kirklin Police,Local police department,IN,Clinton,Kirklin,46050
Standish Police Department,Local police department,MI,Arenac,Standish,48658
Newman Grove Police Dept,Local police department,NE,Madison,Newman Grove,68758
Condon Police Department,Local police department,OR,Gilliam,Condon,97823
Cowley Police Department,Local police department,WY,Big Horn,Cowley,82420
Robertson County Sheriff's Office,Sheriff's office,KY,Robertson,Mount Olivet,41064
Caneyville Police Department,Local police department,KY,Grayson,Caneyville,42721
Gosport Police,Local police department,IN,Owen,Gosport,47433
Rosedale Police Dept,Local police department,LA,Iberville,Rosedale,70772
Powderly Police Department,Local police department,KY,Muhlenberg,Powderly,42367
Mount Olivet Police Department,Local police department,KY,Robertson,Mount Olivet,41064
Echo Police Department,Local police department,MN,Yellow Medicine,Echo,56237
South Hampton Police Department,Local police department,NH,Rockingham,South Hampton,03827
Clarks Police Dept,Local police department,NE,Merrick,Clarks,68628
Lilesville Police Department,Local police department,NC,Anson,Lilesville,28091
Hastings Borough Police Department,Local police department,PA,Cambria,Hastings,16646
Strang Police Department,Local police department,OK,Mayes,Strang,74367
Lindsay Police Department,Local police department,TX,Cooke,Lindsay,76250
Cuney Police Department,Local police department,TX,Cherokee,Cuney,75759
Ethridge Police Department,Local police department,TN,Lawrence,Ethridge,38456
Lingle Police Department,Local police department,WY,Goshen,Lingle,82223
Burrton Police Department,Local police department,KS,Harvey,Burrton,67020
Ridgecrest Police Department,Local police department,LA,Concordia,Ferriday,71334
Marenisco Township Police Department,Local police department,MI,Gogebic,Marenisco,49947
Silver Creek Police Dept,Local police department,NE,Merrick,Silver Creek,68663
St. Louisville Police Department,Local police department,OH,Licking,Saint Louisville,43071
Addyston Police Department,Local police department,OH,Hamilton,Addyston,45001
Olive Town Police Department,Local police department,NY,Ulster,Shokan,12481
Old River-Winfree Police Department,Local police department,TX,Chambers,Mt. Belvieu,77580
Troy Police Department,Local police department,KS,Doniphan,Troy,66087
Sheldon Police Dept,Local police department,IL,Iroquois,Sheldon,60966
Center Police Department,Local police department,MO,Ralls,Center,63436
Eminence Police Department,Local police department,MO,Shannon,Eminence,65466
Hildreth Police Dept,Local police department,NE,Franklin,Hildreth,68947
New Philadelphia Police Department,Local police department,PA,Schuylkill,New Philadelphia,17959
Powell's Crossroads Police Department,Local police department,TN,Marion,Powell's Crossroad,37397
Edgar Police Department,Local police department,WI,Marathon,Edgar,54426
Eleva Police Department,Local police department,WI,Trempealeau,Eleva,54738
Brooksville Police Department,Local police department,KY,Bracken,Brooksville,41004
Markleville Police,Local police department,IN,Madison,Markleville,46056
Danube Police Department,Local police department,MN,Renville,Danube,56230
Helena Police Department,Local police department,OK,Alfalfa,Helena,73741
Goltry Police Department,Local police department,OK,Alfalfa,Goltry,73739
Perry Police Department,Local police department,KS,Jefferson,Perry,66073
St. George Police Department,Local police department,KS,Pottawatomie,St. George,66535
Woodburn Police,Local police department,IN,Allen,Woodburn,46797
Gilbert Police Department,Local police department,LA,Franklin,Gilbert,71336
Audubon Police Department,Local police department,MN,Becker,Audubon,56511
Millville Borough Police Department,Local police department,PA,Columbia,Millville,17846
Shamrock Police Department,Local police department,OK,Creek,Shamrock,74068
Tangier Police Department,Local police department,VA,Accomack,Tangier,23440
Cayuga Police,Local police department,IN,Vermillion,Cayuga,47928
Jonesburg Police Department,Local police department,MO,Montgomery,Jonesburg,63351
Thomson Township Police,Local police department,MN,Carlton,Esko,55733
Lake Linden Police Department,Local police department,MI,Houghton,Lake Linden,49945
Oxford Village Police Department,Local police department,NY,Chenango,Oxford,13830
Hooversville Borough Police Department,Local police department,PA,Somerset,Hooversville,15936
Butler Police Department,Local police department,KY,Pendleton,Butler,41006
West Concord Police Department,Local police department,MN,Dodge,West Concord,55985
Westbrook Police Department,Local police department,MN,Cottonwood,Westbrook,56183
Hallock Police Department,Local police department,MN,Kittson,Hallock,56728
Lapeer Township Police Department,Local police department,MI,Lapeer,Lapeer,48446
Scribner Police Dept,Local police department,NE,Dodge,Scribner,68057
East Washington Borough Police Department,Local police department,PA,Washington,Washington,15301
West Pike Run Township Police Department,Local police department,PA,Washington,Daisytown,15427
Elk Mound Police Department,Local police department,WI,Dunn,Elk Mound,54739
Petersburg Police Department,Local police department,TX,Hale,Petersburg,79250
Worden Police Dept.,Local police department,IL,Madison,Worden,62097
Fairmont Police Dept,Local police department,NE,Fillmore,Fairmont,68354
Sycamore Police Department,Local police department,OH,Wyandot,Sycamore,44882
Rio Grande Police Department,Local police department,OH,Gallia,Rio Grande,45674
Heidelberg Township Police Department,Local police department,PA,Berks,Robesonia,19551
Cochranton Borough Police Department,Local police department,PA,Crawford,Cochranton,16314
Ripon Township Police Department,Local police department,WI,Fond du Lac,Ripon,54971
Fort Laramie Police Dept,Local police department,WY,Goshen,Fort Laramie,82212
Farmington Police Department,Local police department,WV,Marion,Farmington,26571
Clifford Police,Local police department,IN,Bartholomew,Clifford,47226
Sadieville Police Department,Local police department,KY,Scott,Sadieville,40370
Grover Police Department,Local police department,NC,Cleveland,Grover,28073
Booker Police Department,Local police department,TX,Lipscomb,Booker,79005
Perry Police Department,Local police department,SC,Aiken,Perry,29137
Rich Creek Police Department,Local police department,VA,Giles,Rich Creek,24147
Anmoore Police Department,Local police department,WV,Harrison,Anmoore,26323
Macksville Police Department,Local police department,KS,Stafford,Macksville,67557
Sacred Heart Police Department,Local police department,MN,Renville,Sacred Heart,56285
Joliet Police Department,Local police department,MT,Carbon,Joliet,59041
Rising Star Police Department,Local police department,TX,Eastland,Rising Star,76471
Viola Police Department,Local police department,WI,Richland,Viola,54664
Onaga Police Department,Local police department,KS,Pottawatomie,Onaga,66521
Blue Rapids Police Department,Local police department,KS,Marshall,Blue Rapids,66411
Lincolnshire Police Department,Local police department,KY,Jefferson,Louisville,40220
Hancock Police Department,Local police department,MN,Stevens,Hancock,56244
East Bethlehem Township Police Department,Local police department,PA,Washington,Fredericktown,15333
Rolla Police Department,Local police department,KS,Morton,Rolla,67954
Udall Police Department,Local police department,KS,Cowley,Udall,67146
Mangham Police Department,Local police department,LA,Richland,Mangham,71259
Cameron Police Department,Local police department,NC,Moore,Cameron,28326
Lagrange Police Department,Local police department,TN,Fayette,Lagrange,38046
Hudson Police,Local police department,IN,Steuben,Hudson,46747
Perryville Police Department,Local police department,KY,Boyle,Perryville,40468
Benoit Police Department,Local police department,MS,Bolivar,Benoit,38725
Miller Police Department,Local police department,MO,Lawrence,Miller,65707
Henderson Police Department,Local police department,MN,Sibley,Henderson,56044
Manton Police Department,Local police department,MI,Wexford,Manton,49663
Hamiltonban Township Police Department,Local police department,PA,Adams,Fairfield,17320
Smith Township Police Department,Local police department,PA,Washington,Slovan,15078
Brandon-Fairwater Police Department,Local police department,WI,Fond du Lac,Brandon,53919
Orland Police,Local police department,IN,Steuben,Orland,46776
Boyle Police Department,Local police department,MS,Bolivar,Boyle,38730
Morley Police Department,Local police department,MO,Scott,Morley,63767
Battle Lake Police Department,Local police department,MN,Otter Tail,Battle Lake,56515
Valleyview Police Department,Local police department,OH,Franklin,Columbus,43204
Braggs Police Department,Local police department,OK,Muskogee,Braggs,74423
Ponder Police Department,Local police department,TX,Denton,Ponder,76259
Norwich Police Department,Local police department,KS,Kingman,Norwich,67118
Alma Police Department,Local police department,KS,Wabaunsee,Alma,66401
Argonia Police Department,Local police department,KS,Sumner,Argonia,67004
Swan's Island Police Department,Local police department,ME,Hancock,Swan's Island,04685
Conway Police Department,Local police department,MA,Franklin,Conway,01341
Anacoco Police Department,Local police department,LA,Vernon,Anacoco,71403
Ashland Police Department,Local police department,MS,Benton,Ashland,38603
Tyrone Police Department,Local police department,OK,Texas,Tyrone,73951
Kaw City Police Department,Local police department,OK,Kay,Kaw City,74641
Rowlesburg Police Department,Local police department,WV,Preston,Rowlesburg,26425
Advance Police,Local police department,IN,Boone,Advance,46102
Glencoe Police Department,Local police department,OK,Payne,Glencoe,74032
Coyle Police Department,Local police department,OK,Logan,Coyle,73027
Eakly Police Department,Local police department,OK,Caddo,Eakly,73033
Fountain Green Police Department,Local police department,UT,Sanpete,Fountain Green,84632
North Salem Police,Local police department,IN,Hendricks,North Salem,46165
Lake Angelus Police Department,Local police department,MI,Oakland,Auburn Hills,48326
Mars Borough Police Department,Local police department,PA,Butler,Mars,16046
Washington Police Department,Local police department,OK,McClain,Washington,73093
Westfield Borough Police Department,Local police department,PA,Tioga,Westfield,16950
Shade Township Police Department,Local police department,PA,Somerset,Cairnbrook,15924
Shoshoni Police Dept,Local police department,WY,Fremont,Shoshoni,82649
Forest Hill Police Department,Local police department,LA,Rapides,Forest Hill,71430
Watkins Police Department,Local police department,MN,Meeker,Watkins,55389
Mohall Police Department,Local police department,ND,Renville,Mohall,58761
Spencer Police Department,Local police department,OH,Medina,Spencer,44275
Andover Village Police Department,Local police department,NY,Allegany,Andover,14806
Custer City Police Department,Local police department,OK,Custer,Custer City,73639
Dorchester Police Department,Local police department,WI,Clark,Dorchester,54425
Spearville Police Department,Local police department,KS,Ford,Spearville,67876
Elko New Market Police Department,Local police department,MN,Scott,Elko New Market,55020
Hebron Police Department,Local police department,NH,Grafton,Hebron,03241
Perrysville Police Department,Local police department,OH,Ashland,Perrysville,44864
Wakita Police Department,Local police department,OK,Grant,Wakita,73771
Gans Police Department,Local police department,OK,Sequoyah,Gans,74936
Lake Tanglewood Police Department,Local police department,TX,Randall,Amarillo,79118
Summerset Police Department,Local police department,SD,Meade,Blackhawk,57718
Moroni Police Department,Local police department,UT,Sanpete,Moroni,84646
Point Comfort Police Department,Local police department,TX,Calhoun,Point Comfort,77978
Iaeger Police Department,Local police department,WV,McDowell,Iaeger,24844
Kempton Police Dept.,Local police department,IN,Tipton,Kempton,46049
Marion Police Department,Local police department,MI,Osceola,Marion,49665
Niobrara Police Dept,Local police department,NE,Knox,Niobrara,68760
Weathersfield Police Dept.,Local police department,VT,Windsor,Ascutney,05030
Kaycee Police Department,Local police department,WY,Johnson,Kaycee,82639
Burnsville Police Department,Local police department,WV,Braxton,Burnsville,26335
Montpelier Police Department,Local police department,LA,St. Helena,Montpelier,70422
Nortonville Police Department,Local police department,KY,Hopkins,Nortonville,42442
Kulm Police Department,Local police department,ND,LaMoure,Kulm,58456
Madison Township Police Department,Local police department,PA,Columbia,Millville,17846
Centerville Police Department,Local police department,SD,Turner,Centerville,57014
Elmore Police Department,Local police department,MN,Faribault,Elmore,56027
Jacksonville Police Department,Local police department,OH,Athens,Jacksonville,45740
New Summerfield Police Department,Local police department,TX,Cherokee,New Summerfield,75780
Frannie Police Department,Local police department,WY,Big Horn,Frannie,82423
Athens Police Department,Local police department,WV,Mercer,Athens,24712
Little River Police Department,Local police department,KS,Rice,Little River,67457
Maquon Police Dept,Local police department,IL,Knox,Maquon,61458
Newman Police Dept.,Local police department,IL,Douglas,Newman,61942
Hackensack Police Department,Local police department,MN,Cass,Hackensack,56452
Alden Police Department,Local police department,MN,Freeborn,Alden,56009
Belmont Police Department,Local police department,WI,Lafayette,Belmont,53510
Newburg Police Department,Local police department,MO,Phelps,Newburg,65550
Goshen Police Department,Local police department,NH,Sullivan,Goshen,03752
Newcastle Police Dept,Local police department,NE,Dixon,Newcastle,68757
Luzerne Township Police Department,Local police department,PA,Fayette,Brownsville,15417
McBee Police Department,Local police department,SC,Chesterfield,McBee,29101
Toledo Police Department,Local police department,WA,Lewis,Toledo,98591
Skellytown Police Department,Local police department,TX,Carson,Skellytown,79080
Greenville Police,Local police department,IN,Floyd,Greenville,47124
Fordoche Police Department,Local police department,LA,Pointe Coupee,Fordoche,70732
Lula Police Department,Local police department,MS,Coahoma,Lula,38644
Caledonia Police Department,Local police department,MS,Lowndes,Caledonia,39740
Perry Police Department,Local police department,MO,Ralls,Perry,63462
Apple Creek Police Department,Local police department,OH,Wayne,Apple Creek,44606
Pine Creek Township Police Department,Local police department,PA,Clinton,Avis,17721
Lefors Marshal's Office,Constable/marshal,TX,Gray,Lefors,79054
Reedsville Police Department,Local police department,WI,Manitowoc,Reedsville,54230
Paducah Police Department,Local police department,TX,Cottle,Paducah,79248
Lincolnville Police Department,Local police department,ME,Waldo,Lincolnville,04849
Cruger Police Department,Local police department,MS,Holmes,Cruger,38924
Mesquite Township Constable,Local police department,NV,Clark,Mesquite,89027
Tigerton Police Department,Local police department,WI,Shawano,Tigerton,54486
Calhoun Police Department,Local police department,KY,McLean,Calhoun,42327
Francesville Police,Local police department,IN,Pulaski,Francesville,47946
Louise Police Department,Local police department,MS,Humphreys,Louise,39097
Stratton Police Department,Local police department,OH,Jefferson,Stratton,43961
Berlin Heights Police Department,Local police department,OH,Erie,Berlin Heights,44814
Worthing Police Department,Local police department,SD,Lincoln,Worthing,57077
Lena Police Department,Local police department,WI,Oconto,Lena,54139
Sweetser Police,Local police department,IN,Grant,Sweetser,46987
Tilden Police Dept,Local police department,IL,Randolph,Tilden,62292
Onarga Police Dept,Local police department,IL,Iroquois,Onarga,60955
Burr Oak Police Department,Local police department,MI,St. Joseph,Burr Oak,49030
Mosby Police Department,Local police department,MO,Clay,Mosby,64073
Somerset Township Police Department,Local police department,MI,Hillsdale,Somerset Center,49282
Grafton Police Department,Local police department,NH,Grafton,Grafton,03240
Powers Lake Police Department,Local police department,ND,Burke,Powers Lake,58773
San Ysidro Marshal's Office,Local police department,NM,Sandoval,San Ysidro,87053
Burke Police Department,Local police department,SD,Gregory,Burke,57523
Valders Police Department,Local police department,WI,Manitowoc,Valders,54245
Overbrook Police Department,Local police department,KS,Osage,Overbrook,66524
Tracy Police Department,Local police department,MO,Platte,Tracy,64079
Duryea Police Department,Local police department,PA,Luzerne,Duryea,18642
Springdale Police Department,Local police department,WA,Stevens,Springdale,99173
Lebo Police Department,Local police department,KS,Coffey,Lebo,66856
Morrisonville Police Dept,Local police department,IL,Christian,Morrisonville,62546
New Castle Police Department,Local police department,KY,Henry,New Castle,40050
Wolcott Village Police Department,Local police department,NY,Wayne,Wolcott,14590
Fletcher Police Department,Local police department,OK,Comanche,Fletcher,73541
Wiconisco Township Police Department,Local police department,PA,Dauphin,Wiconisco,17097
New Braintree Police Department,Local police department,MA,Worcester,New Braintree,01531
Millersburg Police Department,Local police department,KY,Bourbon,Millersburg,40348
Ferrelview Police Department,Local police department,MO,Platte,Ferrelview,64163
Russia Police Department,Local police department,OH,Shelby,Russia,45363
Albany Police Department,Local police department,TX,Shackelford,Albany,76430
Burgin Police Department,Local police department,KY,Mercer,Burgin,40310
Birdseye Police,Local police department,IN,Dubois,Birdseye,47513
Virginia Police Dept,Local police department,IL,Cass,Virginia,62691
Tampico Police Dept,Local police department,IL,Whiteside,Tampico,61283
Hurstbourne Acres Police Department,Local police department,KY,Jefferson,Louisville,40220
Derma Police Department,Local police department,MS,Calhoun,Derma,38839
Winstonville Police Department,Local police department,MS,Bolivar,Winstonville,38781
Castalia Police Department,Local police department,OH,Erie,Castalia,44824
Orangeville Area Police Department,Local police department,PA,Columbia,Orangeville,17859
Bethune Police Department,Local police department,SC,Kershaw,Bethune,29009
Rib Lake Police Department,Local police department,WI,Taylor,Rib Lake,54470
Courtland Police Department,Local police department,VA,Southampton,Courtland,23837
West Salem Police Dept,Local police department,IL,Edwards,West Salem,62476
Beaverton Police Department,Local police department,MI,Gladwin,Beaverton,48612
Washburn Police Department,Local police department,ME,Aroostook,Washburn,04786
Henderson Police Dept,Local police department,NE,York,Henderson,68371
Vaughn Police Department,Local police department,NM,Guadalupe,Vaughn,88353
Wynona Police Department,Local police department,OK,Osage,Wynona,74084
Jennings Police Department,Local police department,OK,Pawnee,Jennings,74038
Garrison Police Department,Local police department,TX,Nacogdoches,Garrison,75946
Sweden Township Police Department,Local police department,PA,Potter,Coudersport,16915
Seward Borough Police Department,Local police department,PA,Westmoreland,Seward,15954
Belington Police Department,Local police department,WV,Barbour,Belington,26250
Benham Police Department,Local police department,KY,Harlan,Benham,40807
Simpson Police Department,Local police department,LA,Vernon,Simpson,71474
Coleridge Police Dept,Local police department,NE,Cedar,Coleridge,68727
Hancock Village Police Department,Local police department,NY,Delaware,Hancock,13783
Mount Pleasant Township Police Department,Local police department,PA,Washington,Hickory,15340
Quitman Police Department,Local police department,LA,Jackson,Quitman,71268
Wingo Police Department,Local police department,KY,Graves,Wingo,42088
New Haven Police Department,Local police department,KY,Nelson,New Haven,40051
Clearbrook Police Department,Local police department,MN,Clearwater,Clearbrook,56634
Tremont City Police Department,Local police department,OH,Clark,Tremont City,45372
Little River-Academy Police Department,Local police department,TX,Bell,Little River,76554
Bethesda Police Department,Local police department,OH,Belmont,Bethesda,43719
Vega Marshal's Office,Constable/marshal,TX,Oldham,Vega,79092
Bradfordsville Police Department,Local police department,KY,Marion,Bradfordsville,40009
Oakwood Police Dept,Local police department,IL,Vermilion,Oakwood,61858
Gamaliel Police Department,Local police department,KY,Monroe,Gamaliel,42140
Montrose Police Department,Local police department,MO,Henry,Montrose,64770
Marquand Police Department,Local police department,MO,Bollinger,Marquand,63655
Bates City Police Department,Local police department,MO,Lafayette,Bates City,64011
St. Edward Police Dept,Local police department,NE,Boone,St. Edward,68660
Republic Police Department,Local police department,OH,Seneca,Republic,44867
East Pittsburgh Borough Police Department,Local police department,PA,Allegheny,East Pittsburgh,15112
Dane Police Department,Local police department,WI,Dane,Dane,53529
Gaines Township Police Department,Local police department,MI,Genesee,Gaines,48436
Granville Police Department,Local police department,MA,Hampden,Granville,01034
Crenshaw Police Department,Local police department,MS,Panola,Crenshaw,38621
Luckey Police Department,Local police department,OH,Wood,Luckey,43443
Duke Police Department,Local police department,OK,Jackson,Duke,73532
Decaturville Police Department,Local police department,TN,Decatur,Decaturville,38329
White Stone Police Department,Local police department,VA,Lancaster,White Stone,22578
Lester Police Department,Local police department,WV,Raleigh,Lester,25865
Williams Creek Police,Local police department,IN,Marion,Indianapolis,46260
Frost Township Police Department,Local police department,MI,Clare,Harrison,48625
Kilmichael Police Department,Local police department,MS,Montgomery,Kilmichael,39747
Otterville Police Department,Local police department,MO,Cooper,Otterville,65348
Memphis Police Department,Local police department,MI,Macomb,Memphis,48041
Hooper Police Dept,Local police department,NE,Dodge,Hooper,68031
Calvin Police Department,Local police department,OK,Hughes,Calvin,74531
Crowell Police Department,Local police department,TX,Foard,Crowell,79227
Campbellsburg Police Department,Local police department,KY,Henry,Campbellsburg,40011
Hoxie Police Department,Local police department,KS,Sheridan,Hoxie,67740
Milford Police Dept,Local police department,IL,Iroquois,Milford,60953
Hawesville Police Department,Local police department,KY,Hancock,Hawesville,42348
East Deer Township Police Department,Local police department,PA,Allegheny,Creighton,15030
Briarcliffe Acres Police Department,Local police department,SC,Horry,N. Myrtle Beach,29598
Vader Police Department,Local police department,WA,Lewis,Vader,98593
Pratt Police Department,Local police department,WV,Kanawha,Pratt,25162
Lee County Sheriff's Office,Sheriff's office,KY,Lee,Beattyville,41311
Louin Police Department,Local police department,MS,Jasper,Louin,39338
Maysville Police Department,Local police department,MO,DeKalb,Maysville,64469
Cosmos Police Department,Local police department,MN,Meeker,Cosmos,56228
Armour Police Department,Local police department,SD,Douglas,Armour,57313
Avoca Police Department,Local police department,WI,Iowa,Avoca,53506
Woodsboro Police Department,Local police department,TX,Refugio,Woodsboro,78393
Blaine County Sheriff's Office,Sheriff's office,NE,Blaine,Brewster,68821
Protection Police Department,Local police department,KS,Comanche,Protection,67127
Pembroke Police Department,Local police department,KY,Christian,Pembroke,42266
Pilot Knob Police Department,Local police department,MO,Iron,Pilot Knob,63663
Balaton Police Department,Local police department,MN,Murray,Balaton,56115
Seagrove Police Department,Local police department,NC,Randolph,Seagrove,27341
Bloomdale Police Department,Local police department,OH,Wood,Bloomdale,44817
Moapa Valley Township Constable,Local police department,NV,Clark,Overton,89040
Dresser Police Department,Local police department,WI,Polk,Dresser,54009
Boulder Junction Police Department,Local police department,WI,Vilas,Boulder Junction,54512
Wheatland Township Police Department,Local police department,WI,Kenosha,New Munster,53152
Orestes Police,Local police department,IN,Madison,Orestes,46063
Oblong Police Dept,Local police department,IL,Crawford,Oblong,62449
New Windsor Police Dept,Local police department,IL,Mercer,New Windsor,61465
Williamsburg Police Department,Local police department,MA,Hampshire,Williamsburg,01039
Mortons Gap Police Department,Local police department,KY,Hopkins,Mortons Gap,42440
Spaulding Township Police Department,Local police department,MI,Saginaw,Saginaw,48601
Simpson Police Department,Local police department,NC,Pitt,Simpson,27879
Ennis Police Department,Local police department,MT,Madison,Ennis,59729
New Castle Township Police Department,Local police department,PA,Schuylkill,Saint Clair,17970
Montrose Borough Police Department,Local police department,PA,Susquehanna,Montrose,18801
Red Cliff Tribal Law Enforcement,Local police department,WI,Bayfield,Bayfield,54814
Capon Bridge Police Department,Local police department,WV,Hampshire,Capon Bridge,26711
Moran Police Department,Local police department,KS,Allen,Moran,66755
Sunman Police,Local police department,IN,Ripley,Sunman,47041
Lyons Police Department,Local police department,IN,Greene,Lyons,47443
Blue Mountain Police Department,Local police department,MS,Tippah,Blue Mountain,38610
Clay Center Police Dept,Local police department,NE,Clay,Clay Center,68933
Bolivar Police Department,Local police department,OH,Tuscarawas,Bolivar,44612
Nash Police Department,Local police department,OK,Grant,Nash,73761
Indian Lake Police Department,Local police department,TX,Cameron,Los Fresnos,78566
Hand County Sheriff's Office,Sheriff's office,SD,Hand,Miller,57362
Suring Police Department,Local police department,WI,Oconto,Suring,54174
Farmington Police Department,Local police department,MS,Alcorn,Corinth,38835
Edwards Police Department,Local police department,MS,Hinds,Edwards,39066
North Hopewell Township Police Department,Local police department,PA,York,Felton,17322
Newton Township Police Department,Local police department,PA,Lackawanna,Clarks Summit,18411
Smithton Borough Police Department.,Local police department,PA,Westmoreland,Smithton,15479
Readstown Police Department,Local police department,WI,Vernon,Readstown,54652
Scranton Police Department,Local police department,KS,Osage,Scranton,66537
Oxford Police,Local police department,IN,Benton,Oxford,47971
Wilsonville Police Dept,Local police department,IL,Macoupin,Wilsonville,62093
Clarksburg Police Department,Local police department,MA,Berkshire,Clarksburg,01247
Sicily Island Police Department,Local police department,LA,Catahoula,Sicily Island,71368
Iron Mountain Lake Police Department,Local police department,MO,St. Francois,Bismarck,63624
Ishpeming Township Police Department,Local police department,MI,Marquette,Ishpeming,49849
East Marlborough Township,Local police department,PA,Chester,Kennett Square,19348
Vici Police Department,Local police department,OK,Dewey,Vici,73859
Avinger Police Department,Local police department,TX,Cass,Avinger,75630
Marion Township Police Department,Local police department,WI,Waushara,Wautoma,54982
Rivesville Police Department,Local police department,WV,Marion,Rivesville,26588
New Paris Police Department,Local police department,OH,Preble,New Paris,45347
Holgate Police Department,Local police department,OH,Henry,Holgate,43527
Berlin Borough Police Department,Local police department,PA,Somerset,Berlin,15530
Athens Police Department,Local police department,WI,Marathon,Athens,54411
Grant Town Police Department,Local police department,WV,Marion,Grant Town,26574
Shoals Police,Local police department,IN,Martin,Shoals,47581
Marston Police Department,Local police department,MO,New Madrid,Marston,63866
McCullom Lake Police Dept,Local police department,IL,McHenry,McHenry,60050
Mazon Police Dept,Local police department,IL,Grundy,Mazon,60444
Marion Township Police Department,Local police department,PA,Beaver,Fombell,16123
Plantersville Police Department,Local police department,MS,Lee,Plantersville,38862
Lake Waukomis Police Department,Local police department,MO,Platte,Lake Waukomis,64151
Sebeka Police Department,Local police department,MN,Wadena,Sebeka,56477
Hughestown Borough Police Department,Local police department,PA,Luzerne,Pittston,18640
Cameron Police Department,Local police department,SC,Calhoun,Cameron,29030
Hartsville Police,Local police department,IN,Bartholomew,Hartsville,47244
Gallatin County Police Department,Local police department,KY,Gallatin,Warsaw,41095
Laurel Police Dept,Local police department,NE,Cedar,Laurel,68745
Montour Township Police Department,Local police department,PA,Columbia,Bloomsburg,17815
Howard Police Department,Local police department,KS,Elk,Howard,67349
Cromwell Police Department,Local police department,IN,Noble,Cromwell,46732
Woodburn Police Department,Local police department,KY,Warren,Woodburn,42170
Bassfield Police Department,Local police department,MS,Jefferson Davis,Bassfield,39421
Bloomburg Police Department,Local police department,TX,Cass,Bloomburg,75556
