name,type,state,county,city,zip
Bexar County Sheriff's Office,Sheriff's office,TX,Bexar,San Antonio,78207
Arkansas State Police,Primary state law enforcement agency,AR,Pulaski,Little Rock,72209
Kansas Highway Patrol,Primary state law enforcement agency,KS,Shawnee,Topeka,66603
Milwaukee County Sheriff's Office,Sheriff's office,WI,Milwaukee,Milwaukee,53233
Little Rock Police Department,Local police department,AR,Pulaski,Little Rock,72201
Fulton County Sheriff's Office,Sheriff's office,GA,Fulton,Atlanta,30303
Shelby County Sheriff's Office,Sheriff's office,TN,Shelby,Memphis,38103
Mobile Police Department,Local police department,AL,Mobile,Mobile,36606
Tulare County Sheriff's Office,Sheriff's office,CA,Tulare,Visalia,93291
Richland County Sheriff's Office,Sheriff's office,SC,Richland,Columbia,29223
Kern County Sheriff's Office,Sheriff's office,CA,Kern,Bakersfield,93308
Shreveport Police Department,Local police department,LA,Caddo,Shreveport,71101
St. Petersburg Police Department,Local police department,FL,Pinellas,St. Petersburg,33705
Winston-Salem Police Department,Local police department,NC,Forsyth,Winston-Salem,27102
Orleans Parish Sheriff's Office (Criminal Division),Sheriff's office,LA,Orleans,New Orleans,70119
Montgomery Police Department,Local police department,AL,Montgomery,Montgomery,36104
Fairfax County Sheriff's Office,Sheriff's office,VA,Fairfax,Fairfax,22030
Brevard County Sheriff's Office,Sheriff's office,FL,Brevard,Titusville,32780
Paterson Police,Local police department,NJ,Passaic,Paterson,07505
Johnson County Sheriff's Office,Sheriff's office,KS,Johnson,Olathe,66061
Durham Police Department,Local police department,NC,Durham,Durham,27701
Monmouth County Sheriff's Office,Sheriff's office,NJ,Monmouth,Freehold,07728
Wisconsin State Patrol,Primary state law enforcement agency,WI,Dane,Madison,53707
Nebraska State Patrol,Primary state law enforcement agency,NE,Lancaster,Lincoln,68509
Syracuse Police Department,Local police department,NY,Onondaga,Syracuse,13202
Pasco County Sheriff's Office,Sheriff's office,FL,Pasco,New Port Richey,34654
Providence Police Department,Local police department,RI,Providence,Providence,02903
Worcester Police Department,Local police department,MA,Worcester,Worcester,01608
Fort Lauderdale Police Department,Local police department,FL,Broward,Fort Lauderdale,33312
Jackson Police Department,Local police department,MS,Hinds,Jackson,39205
Texas Parks & Wildlife Department,Special jurisdiction,TX,Travis,Austin,78744
Manatee County Sheriff's Office,Sheriff's office,FL,Manatee,Palmetto,34221
Chesterfield County Police Department,Local police department,VA,Chesterfield,Chesterfield,23832
Utah Department of Public Safety,Primary state law enforcement agency,UT,Salt Lake,Salt Lake City,84114
Akron Police Department,Local police department,OH,Summit,Akron,44308
North Las Vegas Police Department,Local police department,NV,Clark,North Las Vegas,89030
Springfield Police Department,Local police department,MA,Hampden,Springfield,01105
Fresno County Sheriff's Office,Sheriff's office,CA,Fresno,Fresno,93721
Maryland Transportation Authority Police,Special jurisdiction,MD,Baltimore,Baltimore,21222
Knox County Sheriff's Office,Sheriff's office,TN,Knox,Knoxville,37902
Franklin County Sheriff's Office,Sheriff's office,OH,Franklin,Columbus,43215
Dane County Sheriff's Office,Sheriff's office,WI,Dane,Madison,53703
El Paso County Sheriff's Office,Sheriff's office,CO,El Paso,Colorado Springs,80903
Bergen County Sheriff's Office,Sheriff's office,NJ,Bergen,Hackensack,07601
Santa Clara County Sheriff's Office,Sheriff's office,CA,Santa Clara,San Jose,95110
Volusia County Sheriff's Office,Sheriff's office,FL,Volusia,Deland,32721
